url, type
"https://en.wikipedia.org/wiki/Pseudastacus", "article"
"https://en.wikipedia.org/wiki/Cretaceous", "article"
"https://en.wikipedia.org/wiki/Jurassic", "article"
"https://en.wikipedia.org/wiki/Decapod", "article"
"https://en.wikipedia.org/wiki/Genus", "article"
"https://en.wikipedia.org/wiki/Antenna_(zoology)", "article"
"https://en.wikipedia.org/wiki/Chelae", "article"
"https://en.wikipedia.org/wiki/Sociality", "article"
"https://en.wikipedia.org/wiki/Mass_mortality_event", "article"
"https://en.wikipedia.org/wiki/Sinemurian", "article"
"https://en.wikipedia.org/wiki/User:Lavalizard101", "user"
"https://en.wikipedia.org/wiki/User:Kent_G._Budge", "user"
"https://en.wikipedia.org/wiki/User:Lavalizard101", "user"
"https://en.wikipedia.org/wiki/User:Cyfal", "user"
"https://en.wikipedia.org/wiki/User:GleisReis", "user"
"https://en.wikipedia.org/wiki/User:Loooke", "user"
"https://en.wikipedia.org/wiki/User:Draco_ignoramus_sophomoricus", "user"
"https://en.wikipedia.org/wiki/User:Benniboi01", "user"
"https://en.wikipedia.org/wiki/User:R%27n%27B", "user"
"https://en.wikipedia.org/wiki/User:Shinkolobwe", "user"
"https://en.wikipedia.org/wiki/Category:Jurassic_crustaceans", "category"
"https://en.wikipedia.org/wiki/Category:Solnhofen_fauna", "category"
"https://en.wikipedia.org/wiki/Category:Fossil_taxa_described_in_1861", "category"
"https://en.wikipedia.org/wiki/Category:Europe", "category"
"https://en.wikipedia.org/wiki/Category:Continents", "category"
"https://en.wikipedia.org/wiki/Category:Landforms", "category"
"https://en.wikipedia.org/wiki/Category:Geography_terminology", "category"
"https://en.wikipedia.org/wiki/Category:Geology_terminology", "category"
"https://en.wikipedia.org/wiki/Category:Overseas_departments_of_France", "category"
"https://en.wikipedia.org/wiki/Category:Integral_overseas_territories", "category"
"https://en.wikipedia.org/wiki/1_Train", "disambiguation"
"https://en.wikipedia.org/wiki/1_%CE%BCm", "disambiguation"
"https://en.wikipedia.org/wiki/1-bit", "disambiguation"
"https://en.wikipedia.org/wiki/Abbasiya", "disambiguation"
"https://en.wikipedia.org/wiki/Abbey_Mills", "disambiguation"
"https://en.wikipedia.org/wiki/Tachie", "disambiguation"
"https://en.wikipedia.org/wiki/Tabacco", "disambiguation"
"https://en.wikipedia.org/wiki/Zahir", "disambiguation"
"https://en.wikipedia.org/wiki/Zababida", "disambiguation"
"https://en.wikipedia.org/wiki/Zambar", "disambiguation"
